country,player_name,role
Afghanistan ,Rahmanullah Gurbaz,Wicketkeeper Batter
Afghanistan ,Hazratullah Zazai,Opening Batter
Afghanistan ,Ibrahim Zadran,Opening Batter
Afghanistan ,Mohammad Ishaq,Wicketkeeper Batter
Afghanistan ,Najibullah Zadran,Middle order Batter
Afghanistan ,Rashid Khan,Bowling Allrounder
Afghanistan ,Azmatullah Omarzai,Allrounder
Afghanistan ,Gulbadin Naib,Batting Allrounder
Afghanistan ,Karim Janat,Bowling Allrounder
Afghanistan ,Mohammad Nabi,Allrounder
Afghanistan ,Nangeyalia Kharote,Allrounder
Afghanistan ,Fareed Ahmad,Bowler
Afghanistan ,Fazalhaq Farooqi,Bowler
Afghanistan ,Naveen-ul-Haq,Bowler
Afghanistan ,Noor Ahmad,Bowler
Afghanistan ,Mujeeb Ur Rahman,Bowler
Australia ,Tim David,Middle order Batter
Australia ,Travis Head,Top order Batter
Australia ,Josh Inglis,Wicketkeeper Batter
Australia ,Matthew Wade,Wicketkeeper Batter
Australia ,David Warner,Opening Batter
Australia ,Mitchell Marsh,Allrounder
Australia ,Cameron Green,Batting Allrounder
Australia ,Glenn Maxwell,Batting Allrounder
Australia ,Marcus Stoinis,Batting Allrounder
Australia ,Ashton Agar,Bowler
Australia ,Pat Cummins,Bowler
Australia ,Nathan Ellis,Bowler
Australia ,Josh Hazlewood,Bowler
Australia ,Mitchell Starc,Bowler
Australia ,Adam Zampa,Bowler
Bangladesh ,Najmul Hossain Shanto,Top order Batter
Bangladesh ,Jaker Ali,Batter
Bangladesh ,Litton Das,Wicketkeeper Batter
Bangladesh ,Tanzid Hasan,Opening Batter
Bangladesh ,Towhid Hridoy,Top order Batter
Bangladesh ,Mahedi Hasan,Allrounder
Bangladesh ,Mahmudullah,Allrounder
Bangladesh ,Shakib Al Hasan,Allrounder
Bangladesh ,Soumya Sarkar,Batting Allrounder
Bangladesh ,Taskin Ahmed,Bowler
Bangladesh ,Mustafizur Rahman,Bowler
Bangladesh ,Rishad Hossain,Bowler
Bangladesh ,Shoriful Islam,Bowler
Bangladesh ,Tanvir Islam,Bowler
Bangladesh ,Tanzim Hasan Sakib,Bowler
Canada ,Navneet Dhaliwal,Middle order Batter
Canada ,Aaron Johnson,Batter
Canada ,Shreyas Movva,Wicketkeeper Batter
Canada ,Ravinderpal Singh,Batter
Canada ,Saad Bin Zafar,Allrounder
Canada ,Dilpreet Bajwa,Allrounder
Canada ,Junaid Siddiqui,Allrounder
Canada ,Nicholas Kirton,Batting Allrounder
Canada ,Pargat Singh,Allrounder
Canada ,Rayyan Pathan,Batting Allrounder
Canada ,Harsh Thaker,Allrounder
Canada ,Nikhil Dutta,Bowler
Canada ,Jeremy Gordon,Bowler
Canada ,Dilon Heyliger,Bowler
Canada ,Rishiv Joshi,Bowler
Canada ,Kaleem Sana,Bowler
England ,Jos Buttler,Wicketkeeper Batter
England ,Jonny Bairstow,Wicketkeeper Batter
England ,Harry Brook,Batter
England ,Ben Duckett,Top order Batter
England ,Phil Salt,Wicketkeeper Batter
England ,Moeen Ali,Batting Allrounder
England ,Sam Curran,Allrounder
England ,Will Jacks,Batting Allrounder
England ,Liam Livingstone,Batting Allrounder
England ,Jofra Archer,Bowler
England ,Tom Hartley,Bowler
England ,Chris Jordan,Bowler
England ,Adil Rashid,Bowler
England ,Reece Topley,Bowler
England ,Mark Wood,Bowler
India ,Rohit Sharma,Top order Batter
India ,Yashasvi Jaiswal,Opening Batter
India ,Virat Kohli,Top order Batter
India ,Rishabh Pant,Wicketkeeper Batter
India ,Sanju Samson,Wicketkeeper Batter
India ,Suryakumar Yadav,Batter
India ,Hardik Pandya,Allrounder
India ,Shivam Dube,Allrounder
India ,Ravindra Jadeja,Allrounder
India ,Axar Patel,Bowling Allrounder
India ,Arshdeep Singh,Bowler
India ,Jasprit Bumrah,Bowler
India ,Yuzvendra Chahal,Bowler
India ,Kuldeep Yadav,Bowler
India ,Mohammed Siraj,Bowler
Ireland ,Ross Adair,Top order Batter
Ireland ,Andy Balbirnie,Batter
Ireland ,Neil Rock,Wicketkeeper Batter
Ireland ,Harry Tector,Middle order Batter
Ireland ,Lorcan Tucker,Wicketkeeper Batter
Ireland ,Paul Stirling,Batting Allrounder
Ireland ,Mark Adair,Bowling Allrounder
Ireland ,Curtis Campher,Allrounder
Ireland ,Gareth Delany,Batting Allrounder
Ireland ,George Dockrell,Allrounder
Ireland ,Graham Hume,Bowler
Ireland ,Josh Little,Bowler
Ireland ,Barry McCarthy,Bowler
Ireland ,Ben White,Bowler
Ireland ,Craig Young,Bowler
Namibia ,Nikolaas Davin,Batter
Namibia ,Zane Green,Wicketkeeper Batter
Namibia ,JP Kotze,Batter
Namibia ,Malan Kruger,Batter
Namibia ,Dylan Leicher,Middle order Batter
Namibia ,Gerhard Erasmus,Allrounder
Namibia ,JJ Smit,Bowling Allrounder
Namibia ,Jan Frylinck,Allrounder
Namibia ,Michael van Lingen,Bowling Allrounder
Namibia ,David Wiese,Allrounder
Namibia ,Peter-Daniel Blignaut,Bowler
Namibia ,Jack Brassell,Bowler
Namibia ,Tangeni Lungameni,Bowler
Namibia ,Bernard Scholtz,Bowler
Namibia ,Ben Shikongo,Bowler
Namibia ,Ruben Trumpelmann,Bowler
Nepal ,Aasif Sheikh,Wicketkeeper Batter
Nepal ,Dipendra Singh Airee,Middle order Batter
Nepal ,Kushal Bhurtel,Opening Batter
Nepal ,Sundeep Jora,Middle order Batter
Nepal ,Rohit Paudel,Batting Allrounder
